date|time|description|vendor|amount
2026-04-15|10:13:25|ergonomic keyboard|Amazon|-89.50
2026-04-15|11:15:00|Invoice 1001 paid|Joe|1500.00
2026-04-16|09:05:11|Office supplies|Staples|-42.30
2026-04-17|14:30:00|Consulting payment|Acme Corp|2400.00
2026-04-18|08:22:44|Coffee & bagel|Starbucks|-8.75
2026-04-19|19:45:10|Team dinner|Olive Garden|-124.60
2026-04-20|12:00:00|Freelance invoice|Globex|750.00
2026-04-21|10:11:22|Cloud hosting|AWS|-55.00
2026-04-22|16:40:00|Book purchase|Amazon|-19.99
2026-04-23|09:00:00|Client retainer|Initech|1800.00
2026-03-05|10:00:00|March consulting|Acme Corp|2100.00
2026-03-12|14:22:00|Software license|JetBrains|-149.00
2025-12-20|09:15:00|Year-end bonus|Self|3000.00
2025-11-18|15:30:00|Holiday gifts|Amazon|-215.40
